,age,employ,address,income,debtinc,creddebt,othdebt,ed,default
0,41.0,17,12,176.0,9.3,11.359392,5.008608,3.0,1
1,27.0,10,6,31.0,17.3,1.362202,4.000798,1.0,0
2,40.0,15,7,,5.5,0.856075,2.168925,1.0,0
3,41.0,15,14,120.0,2.9,2.65872,0.82128,,0
4,24.0,2,0,28.0,17.3,1.787436,3.056564,2.0,1
5,41.0,5,5,25.0,10.2,0.3927,2.1573,2.0,0
6,39.0,20,9,,30.6,3.833874,16.668126,1.0,0
7,,12,11,38.0,3.6,0.128592,1.239408,1.0,0
8,24.0,3,4,19.0,24.4,1.358348,3.277652,1.0,1
9,36.0,0,13,25.0,19.7,2.7777,2.1473,1.0,0
10,27.0,0,1,16.0,1.7,0.182512,0.089488,1.0,0
11,25.0,4,0,23.0,5.2,0.252356,0.943644,1.0,0
12,52.0,24,14,64.0,10.0,3.9296,2.4704,1.0,0
13,37.0,6,9,29.0,16.3,1.715901,3.011099,1.0,0
14,48.0,22,15,100.0,9.1,3.7037,5.3963,1.0,0
15,36.0,9,6,49.0,8.6,0.817516,3.396484,2.0,1
16,36.0,13,6,41.0,16.4,2.918216,3.805784,2.0,1
17,43.0,23,19,72.0,7.6,1.181952,4.290048,1.0,0
18,39.0,6,9,61.0,5.7,0.563274,2.913726,1.0,0
19,,0,21,26.0,1.7,0.099008,0.342992,,0
20,39.0,22,3,52.0,3.2,1.154816,0.509184,1.0,0
21,47.0,17,21,43.0,5.6,0.587552,1.820448,1.0,0
22,28.0,3,6,26.0,10.0,0.4316,2.1684,1.0,0
23,29.0,8,6,27.0,9.8,0.402192,2.243808,1.0,0
24,21.0,1,2,16.0,18.0,0.24192,2.63808,,1
25,25.0,0,2,,17.6,2.14016,3.49184,4.0,0
26,45.0,9,26,69.0,6.7,0.707319,3.915681,2.0,0
27,43.0,25,21,64.0,16.7,0.951232,9.736768,1.0,0
28,33.0,12,8,58.0,18.4,3.084208,7.587792,2.0,0
29,26.0,2,1,37.0,14.2,0.204906,5.049094,3.0,0
30,45.0,3,15,20.0,2.1,0.105,0.315,1.0,0
31,30.0,1,10,22.0,10.5,1.13883,1.17117,1.0,0
32,27.0,2,7,26.0,6.0,0.72228,0.83772,,0
33,25.0,8,4,27.0,14.4,1.018656,2.869344,1.0,0
34,25.0,8,1,35.0,2.9,0.07714,0.93786,1.0,0
35,26.0,6,7,45.0,26.0,6.0489,5.6511,2.0,0
36,30.0,10,4,22.0,16.1,1.409716,2.132284,2.0,0
37,32.0,12,1,,14.4,3.195936,4.580064,2.0,0
38,28.0,1,8,24.0,17.1,1.337904,2.766096,,1
39,45.0,23,5,50.0,4.2,0.5586,1.5414,1.0,0
40,23.0,7,2,31.0,6.6,0.33759,1.70841,1.0,0
41,34.0,17,3,59.0,8.0,1.80776,2.91224,1.0,0
42,42.0,7,23,41.0,4.6,0.941114,0.944886,2.0,0
43,39.0,19,5,48.0,13.1,1.930416,4.357584,1.0,0
44,26.0,0,0,14.0,7.5,0.3024,0.7476,1.0,1
45,21.0,0,1,16.0,6.8,0.150144,0.937856,2.0,0
46,35.0,13,15,35.0,4.5,0.43155,1.14345,1.0,0
